Group,Bond,DeltaHf298_kJ_per_mol
Strontium,Sr-Cl,406(13)
Strontium,Sr-F,542(7)
Strontium,Sr-H,163(8)
Strontium,Sr-I,263(42)
Strontium,Sr-O,454(15)
Strontium,Sr-OH,381(42)
Strontium,Sr-S,314(21)
Sulfur,S-S,429(6)
Sulfur,S-Cl,255
Sulfur,S-F,343(5)
Sulfur,O2S-F,71
Sulfur,S-N,464(21)
Sulfur,S-O,521.70(13)
Sulfur,OS-O,551.4(84)
Sulfur,O2S-O,348.1(42)
Sulfur,HS-SH,272(21)
Tantalum,Ta-N,611(84)
Tantalum,Ta-O,805(13)
Tellurium,Te-B,354(20)
Tellurium,Te-H,268(2)
Tellurium,Te-I,193(42)
Tellurium,Te-O,391(8)
Tellurium,Te-P,298(10)
Tellurium,Te-S,339(21)
Tellurium,Te-Se,268(8)
Terbium,Tb-F,561(42)
Terbium,Tb-O,707(13)
Terbium,Tb-S,515(42)
Terbium,Tb-Te,339(42)
Thallium,Tl-Tl,63
Thallium,Tl-Br,333.9(17)
Thallium,Tl-Cl,372.8(21)
Thallium,Tl-F,445(19)
Thallium,Tl-H,188(8)
Thallium,Tl-I,272(8)
Thorium,Th-Th,289
Thorium,Th-C,484(25)
Thorium,Th-N,577.4(21)
Thorium,Th-O,854(13)
Thorium,Th-P,377
Thulium,Tm-F,569(42)
Thulium,Tm-O,557(13)
Thulium,Tm-S,368(42)
Thulium,Tm-Se,276(42)
Thulium,Tm-Te,276(42)
Tin,Sn-Sn,195(17)
Tin,Sn-Br,339(4)
Tin,BrSn-Br,326
Tin,Br3Sn-Br,272
Tin,(C2H5)3Sn-C2H5,ca. 238
Tin,Sn-Cl,406(13)
Tin,Sn-F,467(13)
Tin,Sn-H,267(17)
Tin,Sn-I,234(42)
Tin,Sn-O,548(21)
Tin,Sn-S,464(3)
Tin,Sn-Se,401.3(59)
Tin,Sn-Te,319.2(8)
Titanium,Ti-Ti,141(21)
Titanium,Ti-Br,439
Titanium,Ti-C,435(25)
Titanium,Ti-Cl,494
Titanium,Ti-F,569(34)
Titanium,Ti-H,ca. 159
Titanium,Ti-I,310(42)
Titanium,Ti-N,464
Titanium,Ti-O,662(16)
Titanium,Ti-S,426(8)
Titanium,Ti-Se,381(42)
Titanium,Ti-Te,289(17)
Tungsten,W-Cl,423(42)
Tungsten,W-F,548(63)
Tungsten,W-O,653(25)
Tungsten,OW-O,632(84)
Tungsten,O2W-O,598(42)
Tungsten,W-P,305(4)
Uranium,U-O,761(17)
Uranium,OU-O,678(59)
Uranium,O2U-O,644(88)
Uranium,U-S,523(10)
Vanadium,V-V,242(21)
Vanadium,V-Br,439(42)
Vanadium,V-C,469(63)
Vanadium,V-Cl,477(63)
Vanadium,V-F,590(63)
Vanadium,V-N,477(8)
Vanadium,V-O,644(21)
Vanadium,V-S,490(16)
Vanadium,V-Se,347(21)
Xenon,Xe-Xe,6.53(30)
Xenon,Xe-F,13.0(4)
Xenon,Xe-O,36.4
Ytterbium,Yb-Cl,322
Ytterbium,Yb-F,521(10)
Ytterbium,Yb-H,159(38)
Ytterbium,Yb-O,397.9(63)
Ytterbium,Yb-S,167
Yttrium,Y-Y,159(21)
Yttrium,Y-Br,485(84)
Yttrium,Y-C,418(63)
Yttrium,Y-Cl,527(42)
Yttrium,Y-F,605(21)
Yttrium,Y-N,481(63)
Yttrium,Y-O,715.1(30)
Yttrium,Y-S,528(11)
Yttrium,Y-Se,435(13)
Yttrium,Y-Te,339(13)
Zinc,Zn-Zn,29
Zinc,Zn-Br,142(29)
Zinc,C2H5C-C2H5,ca. 201
Zinc,Zn-Cl,229(20)
Zinc,Zn-F,368(63)
Zinc,Zn-H,85.8(21)
Zinc,Zn-I,138(29)
Zinc,Zn-O,284.1
Zinc,Zn-S,205(13)
Zinc,Zn-Se,136(13)
Zinc,Zn-Te,205
Zirconium,Zr-C,561(25)
Zirconium,Zr-F,623(63)
Zirconium,Zr-N,565(25)
Zirconium,Zr-O,760(8)
Zirconium,Zr-S,575(17)
