Group,Bond,"ΔHf,298∘​ (kJ/mol)",Equilibrium Bond Distance re​ (Å)
Oxygen,O-OH,213.8(21),1.33
Oxygen,CF3O-OCF3,268(4),1.42
Oxygen,CH3O-OCH3,192,1.46
Oxygen,C2H5O-OC2H5,157.3(8),1.46
Oxygen,C3H7O-OC3H7,159,1.46
Oxygen,RO-OR,155,1.46
Palladium,Pd-O,234(29),1.82
Phosphorus,P-P,490(11),2.21
Phosphorus,P-Br,266.5,2.23
Phosphorus,P-C,513(8),1.84
Phosphorus,P-Cl,289(42),2.04
Phosphorus,P-F,439(96),1.59
Phosphorus,P-H,343(29),1.42
Phosphorus,P-N,617(21),1.68
Phosphorus,P-O,596.6,1.48
Phosphorus,Br3P=O,498(21),1.45
Phosphorus,Cl3P=O,510(21),1.45
Phosphorus,F3P=O,544(21),1.44
Phosphorus,P-S,346.0(17),1.89
Phosphorus,P=S,347,1.86
Phosphorus,P-Se,363(10),2.05
Phosphorus,P-Te,298(10),2.27
Platinum,Pt-B,478(17),2.05
Platinum,Pt-H,352(38),1.53
Platinum,Pt-O,347(34),1.73
Platinum,Pt-P,417(17),2.17
Platinum,Pt-Si,501(18),2.25
Potassium,K-K,57.3(42),3.92
Potassium,K-Br,383(8),2.82
Potassium,K-Cl,427(8),2.67
Potassium,K-F,497.5(25),2.17
Potassium,K-H,183(15),2.24
Potassium,K-I,331(13),3.05
Potassium,K-Na,63.6(29),3.52
Potassium,K-O,239(34),2.07
Potassium,K-OH,343(8),2.04
Praseodymium,Pr-F,582(46),2.07
Praseodymium,Pr-O,753(17),1.8
Praseodymium,Pr-S,492.5(46),2.31
Praseodymium,Pr-Se,446(23),2.43
Praseodymium,Pr-Te,326(42),2.63
Promethium,Pm-F,540(42),2.06
Promethium,Pm-O,674(63),1.78
Promethium,Pm-S,423(63),2.29
Promethium,Pm-Se,339(63),2.41
Promethium,Pm-Te,255(63),2.61
Radium,Ra-Cl,343(75),2.56
Rhodium,Rh-Rh,285(21),2.28
Rhodium,Rh-B,476(21),1.95
Rhodium,Rh-C,583.7(63),1.76
Rhodium,Rh-O,377(63),1.72
Rhodium,Rh-Si,395(18),2.15
Rhodium,Rh-Ti,391(15),2.26
Rubidium,Rb-Rb,45.6(21),4.17
Rubidium,Rb-Br,389(13),2.95
Rubidium,Rb-Cl,448(21),2.79
Rubidium,Rb-F,494(21),2.27
Rubidium,Rb-H,167(21),2.37
Rubidium,Rb-I,335.3(13),3.18
Rubidium,Rb-O,255(84),2.25
Rubidium,Rb-OH,351(8),2.19
Ruthenium,Ru-O,481(63),1.72
Ruthenium,O3Ru-O,439,1.71
Ruthenium,Ru-Si,397(21),2.14
Ruthenium,Ru-Th,592(42),2.5
Samarium,Sm-Cl,423(13),2.41
Samarium,Sm-F,531(18),2.04
Samarium,Sm-O,619(13),1.77
Samarium,Sm-S,389,2.27
Samarium,Sm-Se,331(15),2.39
Samarium,Sm-Te,272(15),2.59
Scandium,Sc-Sc,163(21),2.66
Scandium,Sc-Br,444(63),2.38
Scandium,Sc-C,393(63),1.86
Scandium,Sc-Cl,318,2.23
Scandium,Sc-F,589(13),1.79
Scandium,Sc-N,469(84),1.69
Scandium,Sc-O,674(13),1.67
Scandium,Sc-S,478(13),2.13
Scandium,Sc-Se,385(17),2.25
Scandium,Sc-Te,289(17),2.46
Selenium,Se-Se,332.6(4),2.17
Selenium,Se-Br,297(84),2.32
Selenium,Se-C,582(96),1.98
Selenium,Se-Cl,322,2.13
Selenium,Se-F,339(42),1.74
Selenium,Se-H,305(2),1.46
Selenium,Se-N,381(63),1.76
Selenium,Se-O,423(13),1.65
Selenium,Se-P,364(10),2.05
Selenium,Se-S,381(21),2.05
Selenium,Se-Si,531(25),2.25
Selenium,Se-Te,268(8),2.56
Silicon,Si-Si,327(10),2.33
Silicon,Si-Br,343(50),2.16
Silicon,Si-C,435(21),1.87
Silicon,Si-Cl,456(42),2.02
Silicon,Si-F,540(13),1.6
Silicon,Si-H,298.49(46),1.48
Silicon,Si-I,339(84),2.43
Silicon,Si-N,439(38),1.74
Silicon,Si-O,798(8),1.51
Silicon,Si-S,619(13),1.93
Silicon,Si-Se,531(25),2.25
Silicon,H3Si-SiH3,339(17),2.33
Silicon,$\text{(CH}_3\text{)}_3\text{Si-Si(CH}_3\text{)}_3$,339,2.34
Silicon,(Aryl)3Si-Si(aryl)3,368(31),2.35
Silicon,Si-Te,506(38),2.48
Silver,Ag-Ag,163(8),2.5
Silver,Ag-Au,203(9),2.53
Silver,Ag-Bi,193(42),2.65
Silver,Ag-Br,293(29),2.39
Silver,Ag-Cl,341.4,2.28
Silver,Ag-Cu,176(8),2.44
Silver,Ag-F,354(16),1.98
Silver,Ag-Ga,180(15),2.47
Silver,Ag-Ge,175(21),2.43
Silver,Ag-H,226(8),1.62
Silver,Ag-I,234(29),2.54
Silver,Ag-In,176(17),2.56
Silver,Ag-O,213(84),2
Silver,Ag-Sn,136(21),2.58
Silver,Ag-Te,293(96),2.64
Sodium,Na-Na,77,3.08
Sodium,Na-Br,370(13),2.5
Sodium,Na-Cl,410(8),2.36
Sodium,Na-F,481(13),1.93
Sodium,Na-H,201(21),1.89
Sodium,Na-I,301(8),2.71
Sodium,Na-K,63.6(29),3.52
Sodium,Na-O,257(17),1.96
Sodium,Na-OH,381(13),1.93
Sodium,Na-Rb,59(4),3.65
Strontium,Sr-Br,332(19),2.64
Strontium,Sr-Cl,406(13),2.5
Strontium,Sr-F,542(7),2.07
Strontium,Sr-H,163(8),2.15
Strontium,Sr-I,263(42),2.83
Strontium,Sr-O,454(15),1.92
Strontium,Sr-OH,381(42),2.11
Strontium,Sr-S,314(21),2.44
Sulfur,S-S,429(6),1.89
Sulfur,S-Cl,255,2
Sulfur,S-F,343(5),1.6
Sulfur,O2S-F,71,1.56
Sulfur,S-N,464(21),1.6
Sulfur,S-O,521.70(13),1.48
Sulfur,OS-O,551.4(84),1.43
Sulfur,O2S-O,348.1(42),1.43
Sulfur,HS-SH,272(21),2.06
Tantalum,Ta-N,611(84),1.69
Tantalum,Ta-O,805(13),1.69
Tellurium,Te-B,354(20),2.16
Tellurium,Te-H,268(2),1.65
Tellurium,Te-I,193(42),2.7
Tellurium,Te-O,391(8),1.83
Tellurium,Te-P,298(10),2.26
Tellurium,Te-S,339(21),2.25
Tellurium,Te-Se,268(8),2.56
Terbium,Tb-F,561(42),2.03
Terbium,Tb-O,707(13),1.77
Terbium,Tb-S,515(42),2.27
Terbium,Tb-Te,339(42),2.59
Thallium,Tl-Tl,63,3
Thallium,Tl-Br,333.9(17),2.62
Thallium,Tl-Cl,372.8(21),2.48
Thallium,Tl-F,445(19),2.08
Thallium,Tl-H,188(8),1.87
Thallium,Tl-I,272(8),2.81
Thorium,Th-Th,289,2.8
Thorium,Th-C,484(25),2.08
Thorium,Th-N,577.4(21),1.89
Thorium,Th-O,854(13),1.84
Thorium,Th-P,377,2.41
Thulium,Tm-F,569(42),1.98
Thulium,Tm-O,557(13),1.75
Thulium,Tm-S,368(42),2.23
Thulium,Tm-Se,276(42),2.35
Thulium,Tm-Te,276(42),2.55
Tin,Sn-Sn,195(17),2.75
Tin,Sn-Br,339(4),2.55
Tin,BrSn-Br,326,2.5
Tin,Br3Sn-Br,272,2.48
Tin,(C2H5)3Sn-C2H5,ca. 238,2.16
Tin,Sn-Cl,406(13),2.35
Tin,Sn-F,467(13),1.83
Tin,Sn-H,267(17),1.78
Tin,Sn-I,234(42),2.7
Tin,Sn-O,548(21),1.83
Tin,Sn-S,464(3),2.21
Tin,Sn-Se,401.3(59),2.33
Tin,Sn-Te,319.2(8),2.53
Titanium,Ti-Ti,141(21),2.24
Titanium,Ti-Br,439,2.34
Titanium,Ti-C,435(25),1.82
Titanium,Ti-Cl,494,2.16
Titanium,Ti-F,569(34),1.75
Titanium,Ti-H,ca. 159,1.77
Titanium,Ti-I,310(42),2.56
Titanium,Ti-N,464,1.58
Titanium,Ti-O,662(16),1.62
Titanium,Ti-S,426(8),2.08
Titanium,Ti-Se,381(42),2.21
Titanium,Ti-Te,289(17),2.41
Tungsten,W-Cl,423(42),2.25
Tungsten,W-F,548(63),1.73
Tungsten,W-O,653(25),1.69
Tungsten,OW-O,632(84),1.68
Tungsten,O2W-O,598(42),1.71
Tungsten,W-P,305(4),2.26
Uranium,U-O,761(17),1.84
Uranium,OU-O,678(59),1.79
Uranium,O2U-O,644(88),1.77
Uranium,U-S,523(10),2.36
Vanadium,V-V,242(21),1.77
Vanadium,V-Br,439(42),2.24
Vanadium,V-C,469(63),1.71
Vanadium,V-Cl,477(63),2.09
Vanadium,V-F,590(63),1.71
Vanadium,V-N,477(8),1.54
Vanadium,V-O,644(21),1.59
Vanadium,V-S,490(16),2.01
Vanadium,V-Se,347(21),2.14
Xenon,Xe-Xe,6.53(30),4.36
Xenon,Xe-F,13.0(4),2.29
Xenon,Xe-O,36.4,1.77
Ytterbium,Yb-Cl,322,2.48
Ytterbium,Yb-F,521(10),2.02
Ytterbium,Yb-H,159(38),2.04
Ytterbium,Yb-O,397.9(63),1.8
Ytterbium,Yb-S,167,2.36
Yttrium,Y-Y,159(21),2.86
Yttrium,Y-Br,485(84),2.42
Yttrium,Y-C,418(63),2.15
Yttrium,Y-Cl,527(42),2.38
Yttrium,Y-F,605(21),1.95
Yttrium,Y-N,481(63),1.88
Yttrium,Y-O,715.1(30),1.79
Yttrium,Y-S,528(11),2.32
Yttrium,Y-Se,435(13),2.44
Yttrium,Y-Te,339(13),2.65
Zinc,Zn-Zn,29,2.41
Zinc,Zn-Br,142(29),2.21
Zinc,C2H5C-C2H5,ca. 201,1.95
Zinc,Zn-Cl,229(20),2.07
Zinc,Zn-F,368(63),1.7
Zinc,Zn-H,85.8(21),1.59
Zinc,Zn-I,138(29),2.38
Zinc,Zn-O,284.1,1.77
Zinc,Zn-S,205(13),2.05
Zinc,Zn-Se,136(13),2.16
Zinc,Zn-Te,205,2.38
Zirconium,Zr-C,561(25),2.07
Zirconium,Zr-F,623(63),1.9
Zirconium,Zr-N,565(25),1.8
Zirconium,Zr-O,760(8),1.72
Zirconium,Zr-S,575(17),2.24
Hydrogen,H-CH2COPh,389.1,1.09
Hydrogen,H-CH(CH3)COPh,368.2(8),1.09
Hydrogen,H-CH(NC5H5+)COPh,364(8),1.09
Hydrogen,H-CH(SeC6H5)COPh,355.6(8),1.09
Hydrogen,H-CH(C6H5)COPh,345.2(8),1.09
Hydrogen,H-CH(SC6H5)COPh,341(8),1.09
Hydrogen,H-CH(OCH3)COPh,336.8(8),1.09
Hydrogen,H-CH(NC5H10)COPh,301.2(8),1.09
Hydrogen,H-CH(SC6H5)C6H5,351.5(8),1.09
Hydrogen,H-fluorenyl,334.7,1.09
Hydrogen,H-(9-phenylthiofluorenyl),311.7(8),1.09
Hydrogen,H-(9-methylthiofluorenyl),311.7(8),1.09
Hydrogen,H-CH2CO2C2H5,397.5,1.09
Hydrogen,H-CH(SC6H5)CO2C2H5,359.8(8),1.09
Hydrogen,H-CH(SC2H5)CO2C2H5,364(8),1.09
Hydrogen,H-CH(SC6H5)CN,357.7(8),1.09
Hydrogen,H-CH(SCH3)CN,359.8(8),1.09
Hydrogen,H-CH(SC2H5)CN,359.8(8),1.09
Hydrogen,H-CH(SC6H5)COCH3,351.5(8),1.09
Hydrogen,H-CH(SC3H7)COPh,336.8(8),1.09
Hydrogen,H-CH(SCH2C6H5)COPh,338.9(8),1.09
Hydrogen,H-C(C6H5)(SC6H5)2,341(8),1.09
Hydrogen,H-C(COPh)(SC6H5)2,341(8),1.09
Hydrogen,H-C(COPh)(CH3)2,359.8(8),1.09
Hydrogen,H-C(COPh)(NC5H10)2,307.5(8),1.09
Hydrogen,H-C(COPh)(NC4H8O)2,313.8(8),1.09
Hydrogen,H-C(C6H5)2(SC6H5),345.2(8),1.09
Hydrogen,H-CH(C6H5)CN,343.1(8),1.09
Hydrogen,H-C(C6H5)(CN)(C6H11),338.9(8),1.09
Hydrogen,H-C(C6H5)(CN)(CH3),334.7(8),1.09
Hydrogen,H-C(C6H5)(CN)(OC6H5),332.6(8),1.09
Hydrogen,H-C(C6H5)(CN)(OCH3),324.3(8),1.09
Hydrogen,H-C(C6H5)(CN)(SC2H5),324.3(8),1.09
Hydrogen,H-C(C6H4Cl)(CN)2,322.2(8),1.09
Hydrogen,H-C(C6H5)(CN)(NC5H10),318(8),1.09
